Name,Symbol,Marketcap,Price,Volume
ABBC Coin,ABBC,"$60,693,791",$0.109276,"$42,942,498"
Seele,SEELE,"$59,923,682",$0.085656,"$32,638,251"
Quant,QNT,"$59,725,241",$4.95,"$2,422,856"
Aeternity,AE,"$58,471,737",$0.194914,"$19,707,827"
MaidSafeCoin,MAID,"$55,919,001",$0.123564,"$359,620"
Ardor,ARDR,"$55,594,391",$0.055650,"$3,388,043"
Terra,LUNA,"$55,552,394",$0.193047,"$2,952,972"
iExec RLC,RLC,"$52,977,783",$0.661637,"$1,301,072"
Kyber Network,KNC,"$52,391,822",$0.301606,"$5,685,497"
Matic Network,MATIC,"$49,502,752",$0.019348,"$20,675,175"
DxChain Token,DX,"$49,448,320",$0.000989,"$1,186,064"
Status,SNT,"$49,385,142",$0.014230,"$44,061,015"
RIF Token,RIF,"$48,824,249",$0.087399,"$6,759,061"
Energi,NRG,"$46,886,776",$1.84,"$394,334"
Electroneum,ETN,"$43,153,159",$0.004324,"$147,262"
Beam,BEAM,"$41,999,395",$0.774747,"$37,690,731"
BlockStamp,BST,"$41,805,921",$1.60,"$1,026,743"
Golem,GNT,"$40,134,196",$0.040951,"$3,125,349"
aelf,ELF,"$40,119,794",$0.073685,"$30,607,706"
Yap Stone,YAP,"$39,867,878",$0.265786,"$8,080,484"
